spp,scenario,carbon_weight,country_contraint,future,improved
biodiv,Baseline,2,EVEN,f455,0.2463577077840988
biodiv,Baseline,1.5,EVEN,f455,0.2488552795892882
biodiv,Baseline,2,FLEX,f455,0.24892465658387677
biodiv,Baseline,2,EVEN,ref,0.24920216456223115
biodiv,Baseline,2,UNEVEN,f455,0.25086721243235743
biodiv,Baseline,1.5,FLEX,f455,0.2513528513944776
biodiv,Baseline,2,FLEX,ref,0.25211599833495213
biodiv,Baseline,1.5,UNEVEN,f455,0.2525322603024837
biodiv,Baseline,0.9,EVEN,f455,0.25280976828083807
biodiv,Baseline,1.5,EVEN,ref,0.25287914527542665
biodiv,Baseline,2,UNEVEN,ref,0.25287914527542665
biodiv,Baseline,0.5,EVEN,f455,0.25489107811849593
biodiv,Baseline,0.9,FLEX,f455,0.2550992091022617
biodiv,Baseline,1.5,FLEX,ref,0.25572360205355904
biodiv,Baseline,0.9,UNEVEN,f455,0.2562786180102678
biodiv,Baseline,0.1,EVEN,f455,0.2563479950048564
biodiv,Baseline,1.5,UNEVEN,ref,0.2573886499236853
biodiv,Baseline,0.5,FLEX,f455,0.2575274039128625
biodiv,Baseline,0.9,EVEN,ref,0.25766615790203967
biodiv,Baseline,0.1,FLEX,f455,0.2585680588316914
biodiv,Baseline,0.5,UNEVEN,f455,0.25891494380463437
biodiv,Baseline,0.5,EVEN,ref,0.2591230747884002
biodiv,Baseline,0.1,UNEVEN,f455,0.25974746773969754
biodiv,Baseline,0.9,FLEX,ref,0.2603024836964063
biodiv,Baseline,0.1,EVEN,ref,0.26099625364229223
biodiv,Baseline,0.5,FLEX,ref,0.26189815457194393
biodiv,Baseline,0.9,UNEVEN,ref,0.2623144165394755
biodiv,Baseline,0.5,UNEVEN,ref,0.26432634938254473
biodiv,Baseline,0.1,UNEVEN,ref,0.2647426113500763
biodiv,Baseline,0.1,FLEX,ref,0.2649507423338421
biodiv,HN,2,EVEN,f455,0.3636048286388234
biodiv,HN,2,EVEN,ref,0.3717219370056889
biodiv,HN,2,FLEX,f455,0.3768558346052449
biodiv,HN,1.5,EVEN,f455,0.3770639655890107
biodiv,HN,2,FLEX,ref,0.3826835021506868
biodiv,HN,1.5,EVEN,ref,0.3838629110586929
biodiv,HN,2,UNEVEN,f455,0.38400166504787014
biodiv,HN,2,UNEVEN,ref,0.38753989177188847
biodiv,HN,1.5,FLEX,f455,0.3883724157069516
biodiv,HN,1.5,FLEX,ref,0.3943388372415707
biodiv,HN,1.5,UNEVEN,f455,0.3957263771333426
biodiv,HN,0.9,EVEN,f455,0.3989177188844179
biodiv,HN,1.5,UNEVEN,ref,0.39898709587900655
biodiv,HN,0.9,EVEN,ref,0.4066185652837519
biodiv,HN,0.9,FLEX,f455,0.40724295823504925
biodiv,HN,0.5,EVEN,f455,0.410711807964479
biodiv,HN,0.9,UNEVEN,f455,0.41355626474261137
biodiv,HN,0.9,FLEX,ref,0.41529068960732624
biodiv,HN,0.5,FLEX,f455,0.41695573747745246
biodiv,HN,0.1,EVEN,f455,0.420285833217705
biodiv,HN,0.5,EVEN,ref,0.42063271819064796
biodiv,HN,0.9,UNEVEN,ref,0.4207714721798252
biodiv,HN,0.5,UNEVEN,f455,0.4241015679200777
biodiv,HN,0.1,FLEX,f455,0.4256972387956154
biodiv,HN,0.5,FLEX,ref,0.42618287775773556
biodiv,HN,0.1,UNEVEN,f455,0.4292354655196337
biodiv,HN,0.1,EVEN,ref,0.43076175940058276
biodiv,HN,0.5,UNEVEN,ref,0.43346746218953797
biodiv,HN,0.1,FLEX,ref,0.43971139170251144
biodiv,HN,0.1,UNEVEN,ref,0.4454696822533648
