spp,scenario,carbon_weight,country_contraint,future,rep_diff
carbon,HN,2,FLEX,ref,36.76865880887339
carbon,HN,2,UNEVEN,ref,36.76206544236824
carbon,HN,2,EVEN,ref,34.90932995501354
carbon,HN,0.9,FLEX,ref,33.89423938264658
carbon,HN,0.9,UNEVEN,ref,33.838813123864995
carbon,HN,0.9,EVEN,ref,32.09791836665898
carbon,HN,0.5,UNEVEN,ref,31.144889701589374
carbon,HN,0.5,FLEX,ref,31.11586441769065
carbon,HN,2,UNEVEN,f455,30.870207087433226
carbon,HN,2,FLEX,f455,30.736429757969326
carbon,Baseline,2,UNEVEN,ref,30.42506267209408
carbon,Baseline,2,FLEX,ref,30.398701181740133
carbon,Baseline,2,EVEN,ref,30.04836969367912
carbon,HN,0.5,EVEN,ref,29.35376847700706
carbon,HN,2,EVEN,f455,29.31155007271318
carbon,Baseline,0.9,UNEVEN,ref,28.890657782273273
carbon,Baseline,0.9,FLEX,ref,28.84889855345537
carbon,Baseline,0.9,EVEN,ref,28.490138983569715
carbon,HN,0.9,UNEVEN,f455,28.200624793505074
carbon,HN,0.9,FLEX,f455,28.102662919842246
carbon,Baseline,0.5,UNEVEN,ref,26.950187137598775
carbon,Baseline,0.5,FLEX,ref,26.78357763372969
carbon,HN,0.9,EVEN,f455,26.60161833821539
carbon,Baseline,0.5,EVEN,ref,26.36793943365468
carbon,Baseline,2,UNEVEN,f455,26.045750446016175
carbon,Baseline,2,FLEX,f455,26.01742232160924
carbon,HN,0.5,UNEVEN,f455,25.860266091695156
carbon,Baseline,2,EVEN,f455,25.819966297635123
carbon,HN,0.5,FLEX,f455,25.685077223642004
carbon,Baseline,0.9,UNEVEN,f455,24.56282580091009
carbon,Baseline,0.9,FLEX,f455,24.534660176848966
carbon,Baseline,0.9,EVEN,f455,24.368427888626872
carbon,HN,0.5,EVEN,f455,24.127753942080226
carbon,Baseline,0.5,UNEVEN,f455,22.826125457974864
carbon,Baseline,0.5,FLEX,f455,22.736202421565334
carbon,Baseline,0.5,EVEN,f455,22.46685033997673
carbon,HN,0.1,FLEX,ref,20.532139641967817
carbon,HN,0.1,UNEVEN,ref,19.978343082938604
carbon,HN,0.1,EVEN,ref,19.271280864115106
carbon,Baseline,0.1,UNEVEN,ref,17.063626314661708
carbon,Baseline,0.1,FLEX,ref,16.697023697263553
carbon,HN,0.1,UNEVEN,f455,16.435981718088108
carbon,HN,0.1,FLEX,f455,16.203686525378743
carbon,Baseline,0.1,EVEN,ref,15.984266368801588
carbon,HN,0.1,EVEN,f455,15.069087075231025
carbon,Baseline,0.1,UNEVEN,f455,13.48091224783797
carbon,Baseline,0.1,FLEX,f455,13.265009485526951
carbon,Baseline,0.1,EVEN,f455,12.75552047916192
